claveempleado,dia,horario,idasignatura,idgrado,asignaturalab,seccion,semestre,nombre_materia
NULL,1,15,77,3,0,17,5,Laboratorio de Anatomía 1
2173,1,15,77,3,0,17,5,Laboratorio de Anatomía 1
2173,1,15,87,3,0,17,5,Laboratorio de Química 3
2173,1,16,77,3,0,17,5,Laboratorio de Anatomía 1
2173,1,16,87,3,0,17,5,Laboratorio de Química 3
2173,3,15,77,3,0,15,5,Laboratorio de Anatomía 1
2173,3,15,87,3,0,15,5,Laboratorio de Química 3
2173,3,16,77,3,0,15,5,Laboratorio de Anatomía 1
2173,3,16,87,3,0,15,5,Laboratorio de Química 3
2173,4,11,77,3,0,13,5,Laboratorio de Anatomía 1
2173,4,11,87,3,0,13,5,Laboratorio de Química 3
2173,4,12,77,3,0,13,5,Laboratorio de Anatomía 1
2173,4,12,87,3,0,13,5,Laboratorio de Química 3
3628,1,15,77,3,0,17,5,Laboratorio de Anatomía 1
3628,1,16,77,3,0,17,5,Laboratorio de Anatomía 1
3628,2,9,77,3,0,10,5,Laboratorio de Anatomía 1
3628,2,10,77,3,0,10,5,Laboratorio de Anatomía 1
3628,2,11,77,3,0,12,5,Laboratorio de Anatomía 1
3628,2,12,77,3,0,12,5,Laboratorio de Anatomía 1
3628,3,15,77,3,0,15,5,Laboratorio de Anatomía 1
3628,3,16,77,3,0,15,5,Laboratorio de Anatomía 1
3628,5,9,77,3,0,14,5,Laboratorio de Anatomía 1
3628,5,10,77,3,0,14,5,Laboratorio de Anatomía 1
6515,4,9,87,3,0,16,5,Laboratorio de Química 3
6515,4,10,87,3,0,16,5,Laboratorio de Química 3
6515,4,11,87,3,0,13,5,Laboratorio de Química 3
6515,4,12,87,3,0,13,5,Laboratorio de Química 3
7376,2,9,87,3,0,10,5,Laboratorio de Química 3
7376,2,10,87,3,0,10,5,Laboratorio de Química 3
7376,2,11,77,3,0,12,5,Laboratorio de Anatomía 1
7376,2,11,87,3,0,20,5,Laboratorio de Química 3
7376,2,12,77,3,0,12,5,Laboratorio de Anatomía 1
7376,2,12,87,3,0,20,5,Laboratorio de Química 3
7376,4,9,77,3,0,16,5,Laboratorio de Anatomía 1
7376,4,10,77,3,0,16,5,Laboratorio de Anatomía 1
7376,5,9,77,3,0,14,5,Laboratorio de Anatomía 1
7376,5,9,87,3,0,14,5,Laboratorio de Química 3
7376,5,10,77,3,0,14,5,Laboratorio de Anatomía 1
7376,5,10,87,3,0,14,5,Laboratorio de Química 3
7763,1,15,87,3,0,17,5,Laboratorio de Química 3
7763,1,16,87,3,0,17,5,Laboratorio de Química 3
8460,1,15,77,3,0,17,5,Laboratorio de Anatomía 1
8460,1,15,87,3,0,17,5,Laboratorio de Química 3
8460,1,16,77,3,0,17,5,Laboratorio de Anatomía 1
8460,1,16,87,3,0,17,5,Laboratorio de Química 3
8460,2,11,77,3,0,12,5,Laboratorio de Anatomía 1
8460,2,11,87,3,0,20,5,Laboratorio de Química 3
8460,2,12,77,3,0,12,5,Laboratorio de Anatomía 1
8460,2,12,87,3,0,20,5,Laboratorio de Química 3
8460,3,15,87,3,0,15,5,Laboratorio de Química 3
8460,3,16,87,3,0,15,5,Laboratorio de Química 3
8460,4,9,77,3,0,16,5,Laboratorio de Anatomía 1
8460,4,9,87,3,0,16,5,Laboratorio de Química 3
8460,4,10,77,3,0,16,5,Laboratorio de Anatomía 1
8460,4,10,87,3,0,16,5,Laboratorio de Química 3
8460,4,11,77,3,0,13,5,Laboratorio de Anatomía 1
8460,4,12,77,3,0,13,5,Laboratorio de Anatomía 1
8460,5,9,77,3,0,14,5,Laboratorio de Anatomía 1
8460,5,9,87,3,0,14,5,Laboratorio de Química 3
8460,5,10,77,3,0,14,5,Laboratorio de Anatomía 1
8460,5,10,87,3,0,14,5,Laboratorio de Química 3
8493,2,11,87,3,0,20,5,Laboratorio de Química 3
8493,2,12,87,3,0,20,5,Laboratorio de Química 3
8493,5,9,87,3,0,14,5,Laboratorio de Química 3
8493,5,10,87,3,0,14,5,Laboratorio de Química 3
8726,2,9,77,3,0,10,5,Laboratorio de Anatomía 1
8726,2,9,87,3,0,10,5,Laboratorio de Química 3
8726,2,10,77,3,0,10,5,Laboratorio de Anatomía 1
8726,2,10,87,3,0,10,5,Laboratorio de Química 3
8882,2,9,77,3,0,10,5,Laboratorio de Anatomía 1
8882,2,9,87,3,0,10,5,Laboratorio de Química 3
8882,2,10,77,3,0,10,5,Laboratorio de Anatomía 1
8882,2,10,87,3,0,10,5,Laboratorio de Química 3
8882,3,15,77,3,0,15,5,Laboratorio de Anatomía 1
8882,3,15,87,3,0,15,5,Laboratorio de Química 3
8882,3,16,77,3,0,15,5,Laboratorio de Anatomía 1
8882,3,16,87,3,0,15,5,Laboratorio de Química 3
8882,4,9,77,3,0,16,5,Laboratorio de Anatomía 1
8882,4,9,87,3,0,16,5,Laboratorio de Química 3
8882,4,10,77,3,0,16,5,Laboratorio de Anatomía 1
8882,4,10,87,3,0,16,5,Laboratorio de Química 3
8882,4,11,77,3,0,13,5,Laboratorio de Anatomía 1
8882,4,11,87,3,0,13,5,Laboratorio de Química 3
8882,4,12,77,3,0,13,5,Laboratorio de Anatomía 1
8882,4,12,87,3,0,13,5,Laboratorio de Química 3
