claveempleado,dia,horario,idasignatura,nombre_materia,seccion,semestre,Quincenal
3628,1,9,77,Laboratorio de Anatomía 1,14,5,
3628,1,10,77,Laboratorio de Anatomía 1,14,5,
7376,1,9,87,Laboratorio de Química 3,14,5,
430,1,9,87,Laboratorio de Química 3,14,5,
2204,1,9,87,Laboratorio de Química 3,14,5,
7376,1,10,87,Laboratorio de Química 3,14,5,
430,1,10,87,Laboratorio de Química 3,14,5,
2204,1,10,87,Laboratorio de Química 3,14,5,
3628,1,15,77,Laboratorio de Anatomía 1,17,5,
3628,1,16,77,Laboratorio de Anatomía 1,17,5,
7376,1,15,87,Laboratorio de Química 3,17,5,
8445,1,15,87,Laboratorio de Química 3,17,5,Quincenal
430,1,15,87,Laboratorio de Química 3,17,5,
430,1,16,87,Laboratorio de Química 3,17,5,
7376,1,16,87,Laboratorio de Química 3,17,5,
8445,1,16,87,Laboratorio de Química 3,17,5,Quincenal
3628,1,13,77,Laboratorio de Anatomía 1,18,5,
3628,1,14,77,Laboratorio de Anatomía 1,18,5,
7376,1,13,87,Laboratorio de Química 3,18,5,
430,1,13,87,Laboratorio de Química 3,18,5,
8445,1,13,87,Laboratorio de Química 3,18,5,Quincenal
8445,1,14,87,Laboratorio de Química 3,18,5,Quincenal
7376,1,14,87,Laboratorio de Química 3,18,5,
430,2,9,87,Laboratorio de Química 3,20,5,
8951,2,9,87,Laboratorio de Química 3,20,5,
7376,2,9,87,Laboratorio de Química 3,20,5,Quincenal
7376,2,10,87,Laboratorio de Química 3,20,5,Quincenal
430,2,10,87,Laboratorio de Química 3,20,5,
8951,2,10,87,Laboratorio de Química 3,20,5,
8445,3,9,77,Laboratorio de Anatomía 1,16,5,
8445,3,10,77,Laboratorio de Anatomía 1,16,5,
430,3,9,87,Laboratorio de Química 3,16,5,
7376,3,9,87,Laboratorio de Química 3,16,5,
7376,3,10,87,Laboratorio de Química 3,16,5,
430,3,10,87,Laboratorio de Química 3,16,5,
3628,4,9,77,Laboratorio de Anatomía 1,19,5,
3628,4,10,77,Laboratorio de Anatomía 1,19,5,
430,4,9,87,Laboratorio de Química 3,19,5,
8445,4,9,87,Laboratorio de Química 3,19,5,Quincenal
7376,4,9,87,Laboratorio de Química 3,19,5,
7376,4,10,87,Laboratorio de Química 3,19,5,
430,4,10,87,Laboratorio de Química 3,19,5,
8445,4,10,87,Laboratorio de Química 3,19,5,Quincenal
9267,4,11,77,Laboratorio de Anatomía 1,22,5,
9267,4,12,77,Laboratorio de Anatomía 1,22,5,
2204,4,11,87,Laboratorio de Química 3,22,5,
7376,4,11,87,Laboratorio de Química 3,22,5,
430,4,11,87,Laboratorio de Química 3,22,5,
2204,4,12,87,Laboratorio de Química 3,22,5,
7376,4,12,87,Laboratorio de Química 3,22,5,Quincenal
430,4,12,87,Laboratorio de Química 3,22,5,
3628,5,9,77,Laboratorio de Anatomía 1,15,5,
3628,5,10,77,Laboratorio de Anatomía 1,15,5,
7376,5,9,87,Laboratorio de Química 3,15,5,
8445,5,9,87,Laboratorio de Química 3,15,5,Quincenal
430,5,9,87,Laboratorio de Química 3,15,5,
430,5,10,87,Laboratorio de Química 3,15,5,
7376,5,10,87,Laboratorio de Química 3,15,5,
8445,5,10,87,Laboratorio de Química 3,15,5,Quincenal
